region,country,disease,last_survey_date,reported_case_rate,data_source
United States,United States,COVID-19,2023-05-20,39.01,real
France,France,COVID-19,2023-07-01,17.74,real
South Africa,South Africa,COVID-19,2024-08-04,0.0,real
Peru,Peru,COVID-19,2024-08-04,0.0,real
Uganda,Uganda,COVID-19,2024-08-04,0.0,real
Pakistan,Pakistan,COVID-19,2024-08-04,0.0,real
Philippines,Philippines,COVID-19,2024-08-04,0.0,real
Bangladesh,Bangladesh,COVID-19,2024-08-04,0.03,real
Mexico,Mexico,COVID-19,2024-08-04,0.38,real
Kenya,Kenya,COVID-19,2024-08-04,0.0,real
United Kingdom,United Kingdom,COVID-19,2024-08-04,7.12,real
Indonesia,Indonesia,COVID-19,2024-08-04,0.02,real
India,India,COVID-19,2024-08-04,0.03,real
Ghana,Ghana,COVID-19,2024-08-04,0.0,real
Ethiopia,Ethiopia,COVID-19,2024-08-04,0.0,real
Egypt,Egypt,COVID-19,2024-08-04,0.0,real
Democratic Republic of Congo,Democratic Republic of Congo,COVID-19,2024-08-04,0.0,real
Brazil,Brazil,COVID-19,2024-08-04,0.0,real
Nigeria,Nigeria,COVID-19,2024-08-04,0.0,real
Vietnam,Vietnam,COVID-19,2024-08-04,0.0,real
South Africa,South Africa,HIV,2026-07-14,12.5,synthetic
Kenya,Kenya,HIV,2026-06-19,4.2,synthetic
Nigeria,Nigeria,HIV,2026-04-30,1.3,synthetic
Uganda,Uganda,HIV,2026-06-04,5.4,synthetic
Mozambique,Mozambique,HIV,2026-03-26,11.8,synthetic
India,India,HIV,2026-01-15,0.2,synthetic
Brazil,Brazil,HIV,2026-05-20,0.5,synthetic
United States,United States,HIV,2026-07-19,0.4,synthetic
"North Kivu, DRC",Democratic Republic of Congo,Ebola,2026-07-26,340.0,synthetic
"Ituri, DRC",Democratic Republic of Congo,Ebola,2026-07-22,210.0,synthetic
"Kampala, Uganda",Uganda,Ebola,2026-07-24,45.0,synthetic
"Kinshasa, DRC",Democratic Republic of Congo,Ebola,2026-06-24,5.0,synthetic
"Ondo, Nigeria",Nigeria,Lassa fever,2026-07-20,28.0,synthetic
"Bauchi, Nigeria",Nigeria,Lassa fever,2026-07-13,19.0,synthetic
"Edo, Nigeria",Nigeria,Lassa fever,2026-07-16,22.0,synthetic
"Taraba, Nigeria",Nigeria,Lassa fever,2026-06-29,15.0,synthetic
"Benue, Nigeria",Nigeria,Lassa fever,2026-06-14,9.0,synthetic
